Domain,Solver,Heuristic,Len_state,Cost,Expanded_count,Generated_count,CPU_time
pancake,AStar,gap,10,10,46,360,0.022185155
pancake,AStar,gap,10,8,15,122,0.006791254
pancake,AStar,gap,10,10,14,114,0.005502569
pancake,AStar,gap,10,9,16,130,0.006422971
pancake,AStar,gap,10,7,7,58,0.002776691
pancake,AStar,gap,10,8,14,114,0.005791052
pancake,AStar,gap,10,7,10,82,0.00566223
pancake,AStar,gap,10,9,9,74,0.005059474
pancake,AStar,gap,10,9,16,130,0.006297458
pancake,AStar,gap,10,7,7,58,0.002933548
pancake,AStar,gap,10,10,35,278,0.015260787
pancake,AStar,gap,10,10,27,214,0.010711863
pancake,AStar,gap,10,8,8,66,0.00326011
pancake,AStar,gap,10,9,72,551,0.02812735
pancake,AStar,gap,10,8,10,82,0.003847564
pancake,AStar,gap,10,9,9,74,0.003539203
pancake,AStar,gap,10,9,9,74,0.003573618
pancake,AStar,gap,10,9,76,595,0.0296007
pancake,AStar,gap,10,8,9,74,0.003775997
pancake,AStar,gap,10,9,24,190,0.009255533
pancake,AStar,gap,10,9,13,106,0.00512245
pancake,AStar,gap,10,10,29,231,0.011746332
pancake,AStar,gap,10,8,33,264,0.01265092
pancake,AStar,gap,10,7,7,58,0.002813747
pancake,AStar,gap,10,8,8,66,0.00317429
pancake,AStar,gap,10,7,7,58,0.002818483
pancake,AStar,gap,10,9,13,106,0.005086973
pancake,AStar,gap,10,9,15,122,0.005713428
pancake,AStar,gap,10,10,135,1014,0.054234371
pancake,AStar,gap,10,9,10,82,0.004015122
,,,Mean,8.633333333,23.43333333,184.9,0.009591708
