Domain,Solver,Heuristic,Len_state,Cost,Expanded_count,Generated_count,CPU_time
pancake,AStar,gap,10,10,41,317,0.015874093
pancake,AStar,gap,10,10,41,317,0.015874093
pancake,AStar,gap,10,10,20,158,0.007647403
pancake,AStar,gap,10,10,20,158,0.007647403
pancake,AStar,gap,10,10,10,82,0.00386584
pancake,AStar,gap,10,10,10,82,0.00386584
pancake,AStar,gap,10,10,27,217,0.010214418
pancake,AStar,gap,10,10,27,217,0.010214418
pancake,AStar,gap,10,10,90,686,0.034606621
pancake,AStar,gap,10,10,90,686,0.034606621
pancake,AStar,gap,10,10,42,333,0.016104216
pancake,AStar,gap,10,10,42,333,0.016104216
pancake,AStar,gap,10,10,10,82,0.003951541
pancake,AStar,gap,10,10,10,82,0.003951541
pancake,AStar,gap,10,10,33,266,0.012881605
pancake,AStar,gap,10,10,33,266,0.012881605
pancake,AStar,gap,10,10,25,202,0.009378965
pancake,AStar,gap,10,10,25,202,0.009378965
pancake,AStar,gap,10,10,24,194,0.009194498
pancake,AStar,gap,10,10,24,194,0.009194498
pancake,AStar,gap,10,10,46,363,0.017038603
pancake,AStar,gap,10,10,46,363,0.017038603
pancake,AStar,gap,10,10,47,369,0.018481669
pancake,AStar,gap,10,10,47,369,0.018481669
pancake,AStar,gap,10,10,212,1575,0.079728364
pancake,AStar,gap,10,10,212,1575,0.079728364
pancake,AStar,gap,10,10,16,130,0.006068172
pancake,AStar,gap,10,10,16,130,0.006068172
pancake,AStar,gap,10,10,10,82,0.003921239
pancake,AStar,gap,10,10,47,375,0.019146425
,,,Mean,10,44.76666667,346.8333333,0.017104656
