Domain,Solver,Heuristic,Len_state,Cost,Expanded_count,Generated_count,CPU_time
pancake,AStar,gap,5,3.4,4,14,0.000515034
pancake,RTAStar,gap,5,4.133333333,4.133333333,0,0.000232269
pancake,LRTAStar,gap,5,3.4,3.4,0,0.002169006
pancake,LRTAStar,None,5,3.4,3.4,0,0.01222812
pancake,AStar,gap,6,4.366666667,5.266666667,23,0.001002519
pancake,RTAStar,gap,6,5.066666667,5.066666667,0,0.000436241
pancake,LRTAStar,gap,6,4.366666667,4.366666667,0,0.003874006
pancake,LRTAStar,None,6,4.366666667,4.366666667,0,0.1043401
pancake,AStar,gap,7,5.733333333,9.5,49.03333333,0.002524718
pancake,RTAStar,gap,7,7.7,7.7,0,0.000764946
pancake,LRTAStar,gap,7,5.733333333,5.733333333,0,0.009225807
pancake,LRTAStar,None,7,5.733333333,5.733333333,0,1.20868831
pancake,AStar,gap,8,6.4,10.06666667,62.33333333,0.00304139
pancake,RTAStar,gap,8,8.633333333,8.633333333,0,0.000930196
pancake,LRTAStar,gap,8,6.4,6.4,0,0.014323829
pancake,LRTAStar,None,8,6.4,6.4,0,13.56469224
pancake,AStar,gap,9,7.666666667,14.96666667,105.6,0.00509306
pancake,RTAStar,gap,9,10.06666667,10.06666667,0,0.001259734
pancake,LRTAStar,gap,9,7.666666667,7.666666667,0,0.026611779
pancake,AStar,gap,10,8.433333333,18.33333333,147.4666667,0.007385426
pancake,RTAStar,gap,10,11.26666667,11.26666667,0,0.001824638
pancake,LRTAStar,gap,10,8.433333333,8.433333333,0,0.043268485
pancake,AStar,gap,11,10.13333333,29.3,261,0.014140492
pancake,RTAStar,gap,11,13.6,13.6,0,0.002483337
pancake,LRTAStar,gap,11,10.13333333,10.13333333,0,0.116482594
pancake,AStar,gap,12,11.33333333,58.1,562.2,0.033477407
pancake,RTAStar,gap,12,16.13333333,16.13333333,0,0.003587992
pancake,LRTAStar,gap,12,11.33333333,11.33333333,0,0.274679912
