Domain,Solver,Heuristic,Len_state,Cost,Expanded_count,Generated_count,CPU_time
pancake,AStar,gap,5,3.7,4.766666666666667,16.233333333333334,0.0005602736998601662
pancake,RTAStar,gap,5,4.6,4.6,15.733333333333333,0.0004699153670420249
pancake,AStar,gap,6,4.433333333333334,5.933333333333334,25.6,0.0010419655326889673
pancake,RTAStar,gap,6,5.5,5.5,24.0,0.0008213830660679378
pancake,AStar,gap,7,5.6,8.566666666666666,44.56666666666667,0.001768416834238451
pancake,RTAStar,gap,7,7.766666666666667,7.766666666666667,40.766666666666666,0.0013845893323984153
pancake,AStar,gap,8,6.666666666666667,11.933333333333334,73.1,0.0030948673319168545
pancake,RTAStar,gap,8,8.766666666666667,8.766666666666667,54.5,0.0019151361326900467
pancake,AStar,gap,9,7.566666666666666,15.3,108.06666666666666,0.0068373966008948624
pancake,RTAStar,gap,9,9.933333333333334,9.933333333333334,71.36666666666666,0.0030361999003313636
pancake,AStar,gap,10,8.7,25.066666666666666,198.16666666666666,0.01100267336514662
pancake,RTAStar,gap,10,12.266666666666667,12.266666666666667,99.9,0.005021112433072025
pancake,AStar,gap,11,9.933333333333334,51.766666666666666,450.4,0.02867808556741996
pancake,RTAStar,gap,11,13.1,13.1,119.7,0.00504359476690297
pancake,AStar,gap,12,10.5,41.666666666666664,405.96666666666664,0.02379087089987782
pancake,RTAStar,gap,12,14.4,14.4,145.86666666666667,0.006382810298964614
pancake,AStar,gap,13,12.0,61.93333333333333,666.1666666666666,0.04113485719911599
pancake,RTAStar,gap,13,16.633333333333333,16.633333333333333,184.7,0.008597708865515112
pancake,AStar,gap,14,12.833333333333334,72.73333333333333,861.2333333333333,0.05577338276658945
pancake,RTAStar,gap,14,18.766666666666666,18.766666666666666,226.73333333333332,0.014636919299906974
pancake,AStar,gap,15,13.766666666666667,73.66666666666667,950.2,0.06666173510093358
pancake,RTAStar,gap,15,19.8,19.8,259.0,0.013329711167655963
