Domain,Solver,Heuristic,Len_state,Cost,Expanded_count,Generated_count,CPU_time
pancake,AStar,gap,10,9,13,106,0.005155794
pancake,AStar,gap,10,10,17,136,0.006667706
pancake,AStar,gap,10,8,21,170,0.008250058
pancake,AStar,gap,10,8,10,82,0.004472863
pancake,AStar,gap,10,8,11,90,0.004389388
pancake,AStar,gap,10,9,14,114,0.005462023
pancake,AStar,gap,10,8,8,66,0.003303561
pancake,AStar,gap,10,10,23,186,0.00900236
pancake,AStar,gap,10,9,9,74,0.004081593
pancake,AStar,gap,10,9,21,169,0.008232272
pancake,AStar,gap,10,8,13,106,0.005194028
pancake,AStar,gap,10,8,9,74,0.003549911
pancake,AStar,gap,10,9,13,105,0.005174779
pancake,AStar,gap,10,10,40,320,0.015370585
pancake,AStar,gap,10,10,10,82,0.003957293
pancake,AStar,gap,10,9,11,90,0.004434778
pancake,AStar,gap,10,9,16,130,0.00639102
pancake,AStar,gap,10,9,13,106,0.005360441
pancake,AStar,gap,10,9,36,284,0.013907209
pancake,AStar,gap,10,8,17,136,0.006844654
pancake,AStar,gap,10,10,28,224,0.013160655
pancake,AStar,gap,10,8,12,98,0.005200939
pancake,AStar,gap,10,10,32,255,0.012784643
pancake,AStar,gap,10,8,14,114,0.005501636
pancake,AStar,gap,10,10,42,338,0.016242321
pancake,AStar,gap,10,9,17,136,0.006846902
pancake,AStar,gap,10,8,14,113,0.005623079
pancake,AStar,gap,10,8,63,478,0.024157921
pancake,AStar,gap,10,10,26,210,0.010577955
pancake,AStar,gap,10,10,21,166,0.008444108
,,,Mean,8.933333333,19.8,158.6,0.007924749
