Domain,Solver,Heuristic,Len_state,Cost,Expanded_count,Generated_count,CPU_time
pancake,UCS,None,10,11,3555568,3628800,802.6222348
pancake,AStar,gap,10,11,64,498,0.036558544
pancake,UCS,None,10,8,511769,1431134,121.34879
pancake,AStar,gap,10,8,11,90,0.005308108
pancake,UCS,None,10,9,1431134,2740890,302.9934219
pancake,AStar,gap,10,9,17,138,0.006982877
pancake,UCS,None,10,9,1431134,2740890,303.002171
pancake,AStar,gap,10,9,12,98,0.004816438
pancake,UCS,None,10,10,2740890,3555568,626.8083656
pancake,AStar,gap,10,10,16,128,0.008613936
pancake,UCS,None,10,7,133906,511769,32.49202309
pancake,AStar,gap,10,7,8,66,0.003130789
pancake,UCS,None,10,7,133906,511769,32.15350429
pancake,AStar,gap,10,7,10,82,0.003858689
pancake,UCS,None,10,7,133906,511769,34.05213973
pancake,AStar,gap,10,7,9,74,0.003684875
pancake,UCS,None,10,8,511769,1431134,107.4113174
pancake,AStar,gap,10,8,12,98,0.00470784
pancake,UCS,None,10,7,133906,511769,62.60813997
pancake,AStar,gap,10,7,9,74,0.006033109
pancake,UCS,None,10,7,133906,511769,34.36481876
pancake,AStar,gap,10,7,7,58,0.003008114
pancake,UCS,None,10,8,511769,1431134,141.2838416
pancake,AStar,gap,10,8,15,122,0.00801885
pancake,UCS,None,10,7,133906,511769,35.98971867
pancake,AStar,gap,10,7,7,58,0.002848995
pancake,UCS,None,10,8,511769,1431134,112.2129164
pancake,AStar,gap,10,8,21,170,0.007916404
pancake,UCS,None,10,10,2740890,3555568,530.8979394
pancake,AStar,gap,10,10,18,146,0.01142762
pancake,UCS,None,10,9,1431134,2740890,305.5822865
pancake,AStar,gap,10,9,11,90,0.004644037
