Domain,Solver,Heuristic,Len_state,Cost,Expanded_count,Generated_count,CPU_time
tile,UCS,None,9,26,155713,170273,13.25591397
tile,AStar,manhattan,9,26,1902,2977,0.775850902
tile,UCS,None,9,24,116088,140135,10.06205
tile,AStar,manhattan,9,24,1774,2795,0.721114545
tile,UCS,None,9,25,142087,161065,14.37985122
tile,AStar,manhattan,9,25,356,575,0.23102239
tile,UCS,None,9,27,170994,178353,19.26995883
tile,AStar,manhattan,9,27,3211,4956,1.68926469
tile,UCS,None,9,22,71912,95864,7.668203689
tile,AStar,manhattan,9,22,375,607,0.168756972
tile,UCS,None,9,22,71912,95864,8.953538019
tile,AStar,manhattan,9,22,1161,1823,0.553234281
tile,UCS,None,9,20,37809,54802,5.321791131
tile,AStar,manhattan,9,20,351,554,0.217182469
tile,UCS,None,9,23,98758,123890,11.1043278
tile,AStar,manhattan,9,23,249,398,0.115573554
tile,UCS,None,9,22,71912,95864,8.785101457
tile,AStar,manhattan,9,22,653,1012,0.308876387
tile,UCS,None,9,19,28567,42497,5.100528926
tile,AStar,manhattan,9,19,272,437,0.166618745
tile,UCS,None,9,22,71912,95864,8.282826824
tile,AStar,manhattan,9,22,680,1060,0.303713609
tile,UCS,None,9,24,116088,140135,13.69438886
tile,AStar,manhattan,9,24,691,1096,0.362950177
tile,UCS,None,9,24,126351,148640,15.71757217
tile,AStar,manhattan,9,24,1132,1794,0.54829641
tile,UCS,None,9,15,5173,8456,0.875266053
tile,AStar,manhattan,9,15,23,44,0.014093221
tile,UCS,None,9,18,17402,26931,1.886227055
tile,AStar,manhattan,9,18,173,289,0.098777342
tile,UCS,None,9,26,155713,170273,13.42585339
tile,AStar,manhattan,9,26,1271,1962,0.561262237
tile,UCS,None,9,21,57210,78931,5.981450567
tile,AStar,manhattan,9,21,208,342,0.105574484
tile,UCS,None,9,13,2021,3369,0.205849023
tile,AStar,manhattan,9,13,51,91,0.022343242
tile,UCS,None,9,25,142087,161065,12.97116677
tile,AStar,manhattan,9,25,934,1463,0.423634946
tile,UCS,None,9,26,155713,170273,14.23635896
tile,AStar,manhattan,9,26,2359,3639,1.058767723
tile,UCS,None,9,19,28567,42497,2.855332427
tile,AStar,manhattan,9,19,237,382,0.138905481
tile,UCS,None,9,22,71912,95864,7.144463368
tile,AStar,manhattan,9,22,706,1147,0.306807807
tile,UCS,None,9,20,37809,54802,7.288853441
tile,AStar,manhattan,9,20,226,375,0.134413273
tile,UCS,None,9,26,162240,174082,15.51960345
tile,AStar,manhattan,9,26,1715,2635,0.734564242
tile,UCS,None,9,23,98758,123890,12.45555515
tile,AStar,manhattan,9,23,478,774,0.236490605
tile,UCS,None,9,26,155713,170273,18.07584933
tile,AStar,manhattan,9,26,2024,3167,0.971940256
tile,UCS,None,9,25,142087,161065,13.89164426
tile,AStar,manhattan,9,25,1008,1622,0.483265653
tile,UCS,None,9,28,176547,180457,20.52433033
tile,AStar,manhattan,9,28,849,1297,0.91599288
tile,UCS,None,9,26,155713,170273,13.54619341
tile,AStar,manhattan,9,26,2062,3170,0.818438591
tile,UCS,None,9,20,37809,54802,3.514102675
tile,AStar,manhattan,9,20,250,406,0.106812653
